Year,Month,Bread_Price,Date
2020,1,1.351,2020-01-01
2021,1,1.546,2021-01-01
2022,1,1.555,2022-01-01
2023,1,1.888,2023-01-01
2024,1,2.033,2024-01-01
2020,2,1.375,2020-02-01
2021,2,1.537,2021-02-01
2022,2,1.578,2022-02-01
2023,2,1.896,2023-02-01
2024,2,2.006,2024-02-01
2020,3,1.374,2020-03-01
2021,3,1.526,2021-03-01
2022,3,1.607,2022-03-01
2023,3,1.936,2023-03-01
2024,3,1.997,2024-03-01
2020,4,1.406,2020-04-01
2021,4,1.51,2021-04-01
2022,4,1.612,2022-04-01
2023,4,1.989,2023-04-01
2024,4,1.998,2024-04-01
2020,5,1.412,2020-05-01
2021,5,1.511,2021-05-01
2022,5,1.606,2022-05-01
2023,5,1.951,2023-05-01
2024,5,1.971,2024-05-01
2020,6,1.474,2020-06-01
2021,6,1.51,2021-06-01
2022,6,1.691,2022-06-01
2023,6,1.937,2023-06-01
2024,6,1.973,2024-06-01
2020,7,1.485,2020-07-01
2021,7,1.491,2021-07-01
2022,7,1.715,2022-07-01
2023,7,1.98,2023-07-01
2024,7,1.975,2024-07-01
2020,8,1.495,2020-08-01
2021,8,1.467,2021-08-01
2022,8,1.756,2022-08-01
2023,8,1.97,2023-08-01
2024,8,1.951,2024-08-01
2020,9,1.492,2020-09-01
2021,9,1.58,2021-09-01
2022,9,1.749,2022-09-01
2023,9,1.972,2023-09-01
2024,9,1.976,2024-09-01
2020,10,1.503,2020-10-01
2021,10,1.526,2021-10-01
2022,10,1.814,2022-10-01
2023,10,2.002,2023-10-01
2024,10,1.937,2024-10-01
2020,11,1.515,2020-11-01
2021,11,1.547,2021-11-01
2022,11,1.847,2022-11-01
2023,11,1.976,2023-11-01
2020,12,1.538,2020-12-01
2021,12,1.532,2021-12-01
2022,12,1.873,2022-12-01
2023,12,2.024,2023-12-01
