,Year,Month,Price
0,2014,Jan,2.008
1,2015,Jan,2.113
2,2016,Jan,2.328
3,2017,Jan,1.599
4,2018,Jan,1.769
5,2019,Jan,1.554
6,2020,Jan,1.461
7,2021,Jan,1.466
8,2022,Jan,1.929
9,2023,Jan,4.823
10,2024,Jan,2.522
11,2014,Feb,1.998
12,2015,Feb,2.088
13,2016,Feb,2.267
14,2017,Feb,1.464
15,2018,Feb,1.755
16,2019,Feb,1.557
17,2020,Feb,1.449
18,2021,Feb,1.597
19,2022,Feb,2.005
20,2023,Feb,4.211
21,2024,Feb,2.996
22,2014,Mar,2.061
23,2015,Mar,2.133
24,2016,Mar,2.081
25,2017,Mar,1.404
26,2018,Mar,1.831
27,2019,Mar,1.544
28,2020,Mar,1.525
29,2021,Mar,1.625
30,2022,Mar,2.046
31,2023,Mar,3.446
32,2024,Mar,2.992
33,2014,Apr,2.119
34,2015,Apr,2.065
35,2016,Apr,1.793
36,2017,Apr,1.409
37,2018,Apr,2.081
38,2019,Apr,1.463
39,2020,Apr,2.019
40,2021,Apr,1.62
41,2022,Apr,2.52
42,2023,Apr,3.27
43,2024,Apr,2.864
44,2014,May,1.996
45,2015,May,1.962
46,2016,May,1.684
47,2017,May,1.414
48,2018,May,1.987
49,2019,May,1.362
50,2020,May,1.64
51,2021,May,1.625
52,2022,May,2.863
53,2023,May,2.666
54,2024,May,2.699
55,2014,Jun,1.948
56,2015,Jun,2.57
57,2016,Jun,1.491
58,2017,Jun,1.332
59,2018,Jun,1.628
60,2019,Jun,1.203
61,2020,Jun,1.554
62,2021,Jun,1.642
63,2022,Jun,2.707
64,2023,Jun,2.219
65,2024,Jun,2.715
66,2014,Jul,1.95
67,2015,Jul,2.57
68,2016,Jul,1.546
69,2017,Jul,1.333
70,2018,Jul,1.725
71,2019,Jul,1.243
72,2020,Jul,1.401
73,2021,Jul,1.642
74,2022,Jul,2.936
75,2023,Jul,2.094
76,2024,Jul,3.08
77,2014,Aug,1.979
78,2015,Aug,2.943
79,2016,Aug,1.455
80,2017,Aug,1.367
81,2018,Aug,1.622
82,2019,Aug,1.219
83,2020,Aug,1.328
84,2021,Aug,1.709
85,2022,Aug,3.116
86,2023,Aug,2.043
87,2024,Aug,3.204
88,2014,Sep,1.97
89,2015,Sep,2.966
90,2016,Sep,1.471
91,2017,Sep,1.422
92,2018,Sep,1.651
93,2019,Sep,1.383
94,2020,Sep,1.353
95,2021,Sep,1.835
96,2022,Sep,2.902
97,2023,Sep,2.065
98,2024,Sep,3.821
99,2014,Oct,1.951
100,2015,Oct,2.808
101,2016,Oct,1.39
102,2017,Oct,1.54
103,2018,Oct,1.66
104,2019,Oct,1.282
105,2020,Oct,1.408
106,2021,Oct,1.821
107,2022,Oct,3.419
108,2023,Oct,2.072
109,2024,Oct,3.37
110,2014,Nov,2.032
111,2015,Nov,2.664
112,2016,Nov,1.321
113,2017,Nov,1.506
114,2018,Nov,1.596
115,2019,Nov,1.405
116,2020,Nov,1.45
117,2021,Nov,1.718
118,2022,Nov,3.589
119,2023,Nov,2.138
121,2014,Dec,2.21
122,2015,Dec,2.751
123,2016,Dec,1.383
124,2017,Dec,1.815
125,2018,Dec,1.595
126,2019,Dec,1.535
127,2020,Dec,1.481
128,2021,Dec,1.788
129,2022,Dec,4.25
130,2023,Dec,2.507
