Year,Month,Flour_Price,Date
2020,1,0.438,2020-01-01
2021,1,0.446,2021-01-01
2022,1,0.424,2022-01-01
2023,1,0.54,2023-01-01
2024,1,0.554,2024-01-01
2020,2,0.438,2020-02-01
2021,2,0.44,2021-02-01
2022,2,0.428,2022-02-01
2023,2,0.55,2023-02-01
2024,2,0.558,2024-02-01
2020,3,0.442,2020-03-01
2021,3,0.436,2021-03-01
2022,3,0.448,2022-03-01
2023,3,0.546,2023-03-01
2024,3,0.565,2024-03-01
2021,4,0.437,2021-04-01
2022,4,0.455,2022-04-01
2023,4,0.542,2023-04-01
2024,4,0.574,2024-04-01
2020,5,0.461,2020-05-01
2021,5,0.439,2021-05-01
2022,5,0.456,2022-05-01
2023,5,0.544,2023-05-01
2024,5,0.57,2024-05-01
2020,6,0.468,2020-06-01
2021,6,0.356,2021-06-01
2022,6,0.498,2022-06-01
2023,6,0.551,2023-06-01
2024,6,0.575,2024-06-01
2020,7,0.461,2020-07-01
2021,7,0.368,2021-07-01
2022,7,0.533,2022-07-01
2023,7,0.564,2023-07-01
2024,7,0.574,2024-07-01
2020,8,0.459,2020-08-01
2021,8,0.371,2021-08-01
2022,8,0.549,2022-08-01
2023,8,0.566,2023-08-01
2024,8,0.574,2024-08-01
2020,9,0.451,2020-09-01
2021,9,0.382,2021-09-01
2022,9,0.556,2022-09-01
2023,9,0.565,2023-09-01
2024,9,0.573,2024-09-01
2020,10,0.452,2020-10-01
2021,10,0.396,2021-10-01
2022,10,0.534,2022-10-01
2023,10,0.562,2023-10-01
2024,10,0.566,2024-10-01
2020,11,0.445,2020-11-01
2021,11,0.386,2021-11-01
2022,11,0.524,2022-11-01
2023,11,0.541,2023-11-01
2020,12,0.45,2020-12-01
2021,12,0.388,2021-12-01
2022,12,0.522,2022-12-01
2023,12,0.538,2023-12-01
