Year,Month,Milk_Price,Date
2020,1,3.253,2020-01-01
2021,1,3.468,2021-01-01
2022,1,3.787,2022-01-01
2023,1,4.204,2023-01-01
2024,1,3.958,2024-01-01
2020,2,3.196,2020-02-01
2021,2,3.368,2021-02-01
2022,2,3.875,2022-02-01
2023,2,4.163,2023-02-01
2024,2,3.94,2024-02-01
2020,3,3.248,2020-03-01
2021,3,3.348,2021-03-01
2022,3,3.917,2022-03-01
2023,3,4.098,2023-03-01
2024,3,3.893,2024-03-01
2020,4,3.267,2020-04-01
2021,4,3.447,2021-04-01
2022,4,4.012,2022-04-01
2023,4,4.042,2023-04-01
2024,4,3.868,2024-04-01
2020,5,3.21,2020-05-01
2021,5,3.497,2021-05-01
2022,5,4.204,2022-05-01
2023,5,4.042,2023-05-01
2024,5,3.864,2024-05-01
2020,6,3.198,2020-06-01
2021,6,3.557,2021-06-01
2022,6,4.153,2022-06-01
2023,6,3.985,2023-06-01
2024,6,3.956,2024-06-01
2020,7,3.255,2020-07-01
2021,7,3.627,2021-07-01
2022,7,4.156,2022-07-01
2023,7,3.971,2023-07-01
2024,7,3.983,2024-07-01
2020,8,3.406,2020-08-01
2021,8,3.56,2021-08-01
2022,8,4.194,2022-08-01
2023,8,3.927,2023-08-01
2024,8,4.044,2024-08-01
2020,9,3.448,2020-09-01
2021,9,3.585,2021-09-01
2022,9,4.181,2022-09-01
2023,9,3.965,2023-09-01
2024,9,4.021,2024-09-01
2020,10,3.38,2020-10-01
2021,10,3.663,2021-10-01
2022,10,4.184,2022-10-01
2023,10,3.927,2023-10-01
2024,10,4.041,2024-10-01
2020,11,3.425,2020-11-01
2021,11,3.671,2021-11-01
2022,11,4.218,2022-11-01
2023,11,3.997,2023-11-01
2020,12,3.535,2020-12-01
2021,12,3.743,2021-12-01
2022,12,4.211,2022-12-01
2023,12,4.008,2023-12-01
